;АПЕЛЛЯЦИОННАЯ ИНСТАНЦИЯ;;;;
Регион;Область;Суд первой инстанции;Наименование суда;Адрес;Номер суда
Центральный федеральный округ;Владимирская область;Арбитражный суд Владимирской области ;Первый арбитражный апелляционный суд;600017, г. Владимир, ул. Березина, д. 4;8 (4922) 44-76-65
Приволжский федеральный округ;Руспублика Марий Эл;Арбитражный суд Республики Марий Эл ;;;
Приволжский федеральный округ;Республика Мордовия;Арбитражный суд Республики Мордовия ;;;
Приволжский федеральный округ;Нижегородская область;Арбитражный суд Нижегородской области;;;
Приволжский федеральный округ;Чувашская Республика;Арбитражный суд Чувашской Республики ;;;
Центральный федеральный округ;Ивановская область;Арбитражный суд Ивановской области ;Второй арбитражный апелляционный суд;610007, Кировская область, г. Киров, ул. Хлыновская, д. 3;8 (8332) 519-109
Приволжский федеральный округ;Кировская область;Арбитражный суд Кировской области ;;;
Северо-Западный федеральный округ;Республика Коми;Арбитражный суд Республики Коми ;;;
Центральный федеральный округ;Костромская область;Арбитражный суд Костромской области ;;;
Центральный федеральный округ;Ярославская область;Арбитражный суд Ярославской области ;;;
Сибирский федеральный округ;Красноярский край;Арбитражный суд Красноярского края ;Третий арбитражный апелляционный суд;660049, г. Красноярск, улица Ленина, дом 1Б;8 (391) 222-10-89
Сибирский федеральный округ;Республика Тыва;Арбитражный суд Республики Тыва;;;
Сибирский федеральный округ;Республика Хакасия;Арбитражный суд Республики Хакасия;;;
Дальневосточный федеральный округ;Республика Бурятия;Арбитражный суд Республики Бурятия ;Четвертый арбитражный апелляционный суд;672000, г. Чита, ул. Ленина 100 б;8 (3022) 35-97-45
Сибирский федеральный округ;Иркутская область;Арбитражный суд Иркутской области ;;;
Дальневосточный федеральный округ;Республика Саха (Якутия);Арбитражный суд Республики Саха (Якутия);;;
Дальневосточный федеральный округ;Забайкальский край;Арбитражный суд Забайкальского края ;;;
Дальневосточный федеральный округ;Камчатский край;Арбитражный суд Камчатского края ;Пятый арбитражный апелляционный суд;690001, г. Владивосток,  ул. Светланская, д. 115;8 (423) 22-10-909
Дальневосточный федеральный округ;Приморский край;Арбитражный суд Приморского края ;;;
Дальневосточный федеральный округ;Сахалинская область;Арбитражный суд Сахалинской области;;;
Дальневосточный федеральный округ;Амурская область;Арбитражный суд Амурской области ;Шестой арбитражный апелляционный суд;680000, г. Хабаровск, ул. Пушкина 45;8 (4212) 30-00-25
Дальневосточный федеральный округ;Еврейская автономная область;Арбитражный суд Еврейской автономной области ;;;
Дальневосточный федеральный округ;Магаданская область;Арбитражный суд Магаданской области ;;;
Дальневосточный федеральный округ;Хабаровский край;Арбитражный суд Хабаровского края ;;;
Дальневосточный федеральный округ;Чукотский автономный округ;Арбитражный суд Чукотского АО ;;;
Сибирский федеральный округ;Алтайский край;Арбитражный суд Алтайского края ;Седьмой арбитражный апелляционный суд;634050, г. Томск, Набережная реки Ушайки, д. 24;8 (3822) 611-201
Сибирский федеральный округ;Кемеровская область;Арбитражный суд Кемеровской области ;;;
Сибирский федеральный округ;Новосибирская область;Арбитражный суд Новосибирской области ;;;
Сибирский федеральный округ;Республика Алтай;Арбитражный суд Республики Алтай ;;;
Сибирский федеральный округ;Томская область;Арбитражный суд Томской области ;;;
Сибирский федеральный округ;Омская область;Арбитражный суд Омской области ;Восьмой арбитражный апелляционный суд;644024, г.Омск, ул. 10 лет Октября, д.42;8 (3812) 37-26-22
Уральский федеральный округ;Тюменская область;Арбитражный суд Тюменской области ;;;
Уральский федеральный округ;Ханты-Мансийский автономный округ;Арбитражный суд Ханты-Мансийского АО ;;;
Уральский федеральный округ;Ямало-Ненецкий автономный округ;Арбитражный суд Ямало-Ненецкого АО ;;;
Центральный федеральный округ;город Москва;Арбитражный суд города Москвы ;Девятый арбитражный апелляционный суд;127994 г.Москва, проезд Соломенной Сторожки 12;8 (495) 987-28-00
Центральный федеральный округ;Московская область;Арбитражный суд Московской области ;Десятый арбитражный апелляционный суд;117997, Москва, ГСП-7, ул. Садовническая, д. 68/70, стр. 1;8 (495) 987-27-22
Приволжский федеральный округ;Пензенская область;Арбитражный суд Пензенской области ;Одиннадцатый арбитражный апелляционный суд;443070, г. Самара, ул.Аэродромная, д.11А;8 (846) 273-36-45
Приволжский федеральный округ;Самарская область;Арбитражный суд Самарской области ;;;
Приволжский федеральный округ;Республика Татарстан;Арбитражный суд Республики Татарстан ;;;
Приволжский федеральный округ;Ульяновская область;Арбитражный суд Ульяновской области ;;;
Приволжский федеральный округ;Саратовская область;Арбитражный суд Саратовской области ;Двенадцатый арбитражный апелляционный суд;410002, г. Саратов, ул. М.Ю. Лермонтова, д.30, корп.2;8 (8452) 74-90-90
Южный федеральный округ;Астраханская область;Арбитражный суд Астраханской области ;;;
Южный федеральный округ;Волгоградская область;Арбитражный суд Волгоградской области ;;;
Северо-Западный федеральный округ;Город Санкт-Петербург;Арбитражный суд Санкт-Петербурга и Ленинградской области;Тринадцатый арбитражный апелляционный суд;191124, Санкт-Петербург, Суворовский проспект, д. 65, лит. А;8 (812) 647-59-99
Северо-Западный федеральный округ;Республика Карелия;Арбитражный суд Республики Карелия ;;;
Северо-западный федеральный округ;Калининградская область;Арбитражный суд Калининградской области ;;;
Северо-Западный федеральный округ;Мурманская область;Арбитражный суд Мурманской области ;;;
Северо-западный федеральный округ;Архангельская область;Арбитражный суд Архангельской области ;Четырнадцатый арбитражный апелляционный суд;160001, г. Вологда, ул. Батюшкова, д. 12;8 (8172) 78-09-14
Северо-западный федеральный округ;Вологодская область;Арбитражный суд Вологодской области ;;;
Северо-западный федеральный округ;Новгородская область;Арбитражный суд Новгородской области ;;;
Северо-Западный федеральный округ;Псковская область;Арбитражный суд Псковской области ;;;
Центральный федеральный округ;Тверская область;Арбитражный суд Тверской области ;;;
Южный федеральный округ;Краснодарский край;Арбитражный суд Краснодарского края ;Пятнадцатый арбитражный апелляционный суд;344002, Ростов-на-Дону, пер. Газетный, 34;8 (863) 218-60-26
Южный федеральный округ;Республика Адыгея;Арбитражный суд Республики Адыгея ;;;
Южный федеральный округ;Ростовская область;Арбитражный суд Ростовской области ;;;
Северо-Кавказский федеральный округ;Республика Дагестан;Арбитражный суд Республики Дагестан ;Шестнадцатый арбитражный апелляционный суд;357600, Ставропольский край, г.Ессентуки ул. Вокзальная д.2;8 (87934) 6-09-16
Северо-Кавказский федеральный округ;Республика Ингушентия;Арбитражный суд Республики Ингушетия ;;;
Южный федеральный округ;Республика Калмыкия;Арбитражный суд Республики Калмыкия ;;;
Северо-Кавказский федеральный округ;Кабардино-Балкарская республика;Арбитражный суд Кабардино-Балкарской Республики ;;;
Северо-Кавказский федеральный округ;Карачаево-Черкесская Республика;Арбитражный суд Карачаево-Черкесской Республики ;;;
Северо-Кавказский федеральный округ;Республика Северная Осетия-Алания;Арбитражный суд Республики Северная Осетия ;;;
Северо-Кавказский федеральный округ;Чеченская республика;Арбитражный суд Чеченской Республики ;;;
Северо-Кавказский федеральный округ;Ставропольский край;Арбитражный суд Ставропольского края ;;;
Приволжский федеральный округ;Пермский край;Арбитражный суд Пермского края ;Семнадцатый арбитражный апелляционный суд;614068 г. Пермь ул. Пушкина 112;8 (342) 230-78-50
Приволжский федеральный округ;Пермский край;Арбитражный суд ПСП Арбитражного суда Пермского края в г.Кудымкаре;;;
Уральский федеральный округ;Свердловская область;Арбитражный суд Свердловской области ;;;
Приволжский федеральный округ;Удмуртская Республика;Арбитражный суд Удмуртской Республики ;;;
Приволжский федеральный округ;Республика Башкортостан;Арбитражный суд Республики Башкортостан ;Восемнадцатый арбитражный апелляционный суд;454080, г. Челябинск, пр. Ленина, 83;8 (351) 259-66-20
Уральский федеральный округ;Курганская область;Арбитражный суд Курганской области ;;;
Приволжский федеральный округ;Оренбургская область;Арбитражный суд Оренбургской области;;;
Уральский федеральный округ;Челябинская область;Арбитражный суд Челябинской области ;;;
Центральный федеральный округ;Белгородская область;Арбитражный суд Белгородской области ;Девятнадцатый арбитражный апелляционный суд;394018 г. Воронеж, ул. Платонова, д.8;8 (473) 239-72-68
Центральный федеральный округ;Воронежская область;Арбитражный суд Воронежской области ;;;
Центральный федеральный округ;Курская область;Арбитражный суд Курской области ;;;
Центральный федеральный округ;Липецкая область;Арбитражный суд Липецкой области ;;;
Центральный федеральный округ;Орловская область;Арбитражный суд Орловской области ;;;
Центральный федеральный округ;Тамбовская область;Арбитражный суд Тамбовской области ;;;
Центральный федеральный округ;Брянская область;Арбитражный суд Брянской области ;Двадцатый арбитражный апелляционный суд;300041 г. Тула, ул. Староникитская, 1;8 (4872) 70-24-24
Центральный федеральный округ;Калужская область;Арбитражный суд Калужской области ;;;
Центральный федеральный округ;Рязанская область;Арбитражный суд Рязанской области ;;;
Центральный федеральный округ;Смоленская область;Арбитражный суд Смоленской области ;;;
Центральный федеральный округ;Тульская область;Арбитражный суд Тульской области ;;;
Южный федеральный округ;Республика Крым;Арбитражный суд Республики Крым ;Двадцать первый арбитражный апелляционный суд;299011 г. Севастополь, ул. Суворова, 21;8 (8692) 54-74-95
Южный федеральный округ;Республика Крым;Арбитражный суд города Севастополь;;;
