;ПЕРВАЯ ИНСТАНЦИЯ;;;
Регион;Область;Наименование суда;Адрес;Номер суда
Сибирский федеральный округ;Алтайский край;Арбитражный суд Алтайского края ;656015 г.Барнаул, пр. Ленина 76;8 (3852) 29-88-01
Дальневосточный федеральный округ;Амурская область;Арбитражный суд Амурской области ;675023 г. Благовещенск, ул. Ленина 163;8 (4162) 59-59-00
Северо-западный федеральный округ;Архангельская область;Арбитражный суд Архангельской области ;163000 г. Архангельск, ул. Логинова, дом 17;8 (8182) 42-09-80
Южный федеральный округ;Астраханская область;Арбитражный суд Астраханской области ;414014, г. Астрахань, проспект Губернатора Анатолия Гужвина, дом 6.;8 (8512) 48-23-23
Центральный федеральный округ;Белгородская область;Арбитражный суд Белгородской области ;308009 г. Белгород, Народный бульвар 135;8 (4722) 35-60-16
Центральный федеральный округ;Брянская область;Арбитражный суд Брянской области ;241050, г. Брянск, пер. Трудовой, 6;8 (4832) 77-09-47
Центральный федеральный округ;Владимирская область;Арбитражный суд Владимирской области ;600005, г. Владимир, Октябрьский проспект, 19;8 (4922) 47-23-41
Южный федеральный округ;Волгоградская область;Арбитражный суд Волгоградской области ;400005, город Волгоград, улица 7-й Гвардейской, дом 2;8 (8442) 23-00-78
Северо-западный федеральный округ;Вологодская область;Арбитражный суд Вологодской области ;160000, г. Вологда, ул. Герцена, д. 1а;8 (8172) 57-08-88
Центральный федеральный округ;Воронежская область;Арбитражный суд Воронежской области ;394030, г. Воронеж, ул. Средне-Московская, д. 77;8 (473) 259-71-81
Дальневосточный федеральный округ;Забайкальский край;Арбитражный суд Забайкальского края ;672002, г. Чита, ул. Выставочная, д. 6;8 (3022) 33-05-33
Центральный федеральный округ;Ивановская область;Арбитражный суд Ивановской области ;153022, г. Иваново, ул. Б. Хмельницкого 59-б;8 (4932) 95-03-29
Сибирский федеральный округ;Иркутская область;Арбитражный суд Иркутской области ;г. Иркутск, бульвар Гагарина, д. 70;8 (3952) 254-200
Северо-западный федеральный округ;Калининградская область;Арбитражный суд Калининградской области ;236040, г. Калининград, ул. Рокоссовского, 2-4;8 (4012) 57-22-22
Центральный федеральный округ;Калужская область;Арбитражный суд Калужской области ;248000, г. Калуга, Ленина , д. 90;8 (4842) 505-902
Дальневосточный федеральный округ;Камчатский край;Арбитражный суд Камчатского края ;683009, г. Петропавловск-Камчатский, ул. Академика Курчатова, д. 2;8 (4152) 219-200
Сибирский федеральный округ;Кемеровская область;Арбитражный суд Кемеровской области ;650000, г. Кемерово, ул. Красная, д. 8;8 (3842) 45-10-16
Приволжский федеральный округ;Кировская область;Арбитражный суд Кировской области ;610017, г. Киров, ул. Карла Либкнехта, 102;8 (8332) 70-92-11
Центральный федеральный округ;Костромская область;Арбитражный суд Костромской области ;156000, г. Кострома, ул. Долматова 2;8 (4942) 31-37-79
Южный федеральный округ;Краснодарский край;Арбитражный суд Краснодарского края ;350063, г. Краснодар, ул. Постовая, д. 32;8 (861) 293-81-03
Сибирский федеральный округ;Красноярский край;Арбитражный суд Красноярского края ;660049 г. Красноярск, ул. Ленина, 1;8 (391) 226-57-64
Уральский федеральный округ;Курганская область;Арбитражный суд Курганской области ;640002, г. Курган, ул. Климова, 62;8 (3522) 46-64-84
Центральный федеральный округ;Курская область;Арбитражный суд Курской области ;305004, г. Курск, ул. К. Маркса, д. 25;8 (4712) 53-69-36
Центральный федеральный округ;Липецкая область;Арбитражный суд Липецкой области ;398066, г. Липецк, пл. Петра Великого д. 7;8 (4742) 202-073
Дальневосточный федеральный округ;Магаданская область;Арбитражный суд Магаданской области ;685000, Магадан, пр. Карла Маркса, 62;8 (4132) 65-03-80
Центральный федеральный округ;Московская область;Арбитражный суд Московской области ;107053, Москва, пр. Академика Сахарова 18;8 (499) 975-29-46
Северо-Западный федеральный округ;Мурманская область;Арбитражный суд Мурманской области ;183038, г. Мурманск, ул. Академика Книповича 20;8 (8152) 45-36-18
Приволжский федеральный округ;Нижегородская область;Арбитражный суд Нижегородской области;603082, Россия, г. Нижний Новгород, Кремль корпус 9;8 (831) 439-10-40
Северо-западный федеральный округ;Новгородская область;Арбитражный суд Новгородской области ;173020, Новгородская область, Великий Новгород, ул. Большая Московская, д. 73;8 (8162) 94-51-35
Сибирский федеральный округ;Новосибирская область;Арбитражный суд Новосибирской области ;630102, г. Новосибирск, ул. Нижегородская 6;8 (383) 269-69-90
Сибирский федеральный округ;Омская область;Арбитражный суд Омской области ;644024, г. Омск, ул. Учебная 51;8 (3812) 31-56-51
Приволжский федеральный округ;Оренбургская область;Арбитражный суд Оренбургской области;460024, Оренбург, ул. Краснознаменная, д.56;8 (3532) 45-30-33
Центральный федеральный округ;Орловская область;Арбитражный суд Орловской области ;302000, г. Орел, ул. Максима Горького 42;8 (4862) 43-24-44
Приволжский федеральный округ;Пензенская область;Арбитражный суд Пензенской области ;440000, Пенза, ул. Кирова, 35/39;8 (8412) 52-99-09
Приволжский федеральный округ;Пермский край;Арбитражный суд Пермского края ;614068 г. Пермь ул. Екатерининская 177;8 (342) 217-50-00
Дальневосточный федеральный округ;Приморский край;Арбитражный суд Приморского края ;690091, г. Владивосток, ул. Октябрьская, 27;8 (423) 221-53-76
Северо-Западный федеральный округ;Псковская область;Арбитражный суд Псковской области ;180000 г. Псков, ул. Свердлова 36;75-29-62
Южный федеральный округ;Республика Адыгея;Арбитражный суд Республики Адыгея ;385000, Республика Адыгея, г. Майкоп, ул. Краснооктябрьская 15;8 (8772) 52-63-34
Сибирский федеральный округ;Республика Алтай;Арбитражный суд Республики Алтай ;649000 Республика Алтай, г.Горно-Алтайск ул. Ленкина, 4;8 (38822) 4-76-58
Приволжский федеральный округ;Республика Башкортостан;Арбитражный суд Республики Башкортостан ;450057, Башкортостан, г. Уфа, ул. Октябрьской революции 63а;8 (347) 272-13-89
Дальневосточный федеральный округ;Республика Бурятия;Арбитражный суд Республики Бурятия ;670000, Республика Бурятия, г. Улан-Удэ, ул. Коммунистическая 52;8 (3012) 28-65-02
Северо-Кавказский федеральный округ;Республика Дагестан;Арбитражный суд Республики Дагестан ;367009, г. Махачкала, ул. Керимова 7;8 (8722) 69-49-68
Северо-Кавказский федеральный округ;Республика Ингушентия;Арбитражный суд Республики Ингушетия ;386101, РИ, г. Назрань, проспект им. И. Базоркина, 44;8 (8732) 22-40-77
Южный федеральный округ;Республика Калмыкия;Арбитражный суд Республики Калмыкия ;358000, Элиста, ул. Сусеева,10;8 (84722) 4-17-17
Северо-Западный федеральный округ;Республика Карелия;Арбитражный суд Республики Карелия ;185910, Республика Карелия,  г. Петрозаводск, ул. Красноармейская, 24-а;8 (8142) 790–590
Северо-Западный федеральный округ;Республика Коми;Арбитражный суд Республики Коми ;167000, г. Сыктывкар, ул. Ленина, д.60;8 (8212) 30-08-65
Южный федеральный округ;Республика Крым;Арбитражный суд Республики Крым ;Республика Крым, 295000,  г. Симферополь, ул. Александра Невского, д. 29/11;8 (3652) 550-155
Приволжский федеральный округ;Республика Мордовия;Арбитражный суд Республики Мордовия ;430030, г. Саранск, ул. Полежаева, 177;8 (8342) 24-08-83
Дальневосточный федеральный округ;Республика Саха (Якутия);Арбитражный суд Республики Саха (Якутия);677980, г. Якутск, ул. Курашова 28;8 (4112) 340580
Приволжский федеральный округ;Республика Татарстан;Арбитражный суд Республики Татарстан ;420107, Республика Татарстан,  г.Казань, ул.Ново-Песочная, д.40,;8 (843) 533-50-00
Сибирский федеральный округ;Республика Тыва;Арбитражный суд Республики Тыва;667000 Республика Тыва, г. Кызыл, ул. Кочетова, 91;8 (39422) 2-11-97
Сибирский федеральный округ;Республика Хакасия;Арбитражный суд Республики Хакасия;655017, Республика Хакасия, г. Абакан, ул. Крылова 74;8 (3902) 29-95-00
Южный федеральный округ;Ростовская область;Арбитражный суд Ростовской области ;344002, Ростов-на-Дону, ул. Станиславского, 10/11-13;8 (863) 282-84-44
Центральный федеральный округ;Рязанская область;Арбитражный суд Рязанской области ;390000, г. Рязань, ул. Почтовая, д.43/44;8 (4912) 20-95-00
Приволжский федеральный округ;Самарская область;Арбитражный суд Самарской области ;443001, г. Самара, ул. Самарская, 203Б;8 (846) 207-55-15,
Приволжский федеральный округ;Саратовская область;Арбитражный суд Саратовской области ;410002, г. Саратов, ул. Бабушкин Взвоз, д. 1;8 (8452) 98-39-39
Дальневосточный федеральный округ;Сахалинская область;Арбитражный суд Сахалинской области;693000, Южно-Сахалинск, Коммунистический проспект 28;8 (4242) 46-09-45
Уральский федеральный округ;Свердловская область;Арбитражный суд Свердловской области ;620075, г. Екатеринбург, ул. Шарташская 4;8 (343) 298-00-07
Центральный федеральный округ;Смоленская область;Арбитражный суд Смоленской области ;214001 г.Смоленск, улица Большая Советская 30/11;8 (4812) 24-47-71
Северо-Кавказский федеральный округ;Ставропольский край;Арбитражный суд Ставропольского края ;"355029, г. Ставрополь, ул. Мира, 458 ""Б""";8 (8652) 20-54-22
Центральный федеральный округ;Тамбовская область;Арбитражный суд Тамбовской области ;392020, г. Тамбов, ул. Пензенская, 67/12;8 (4752) 47-70-14
Центральный федеральный округ;Тверская область;Арбитражный суд Тверской области ;170100, г. Тверь, ул. Советская, д. 23;8 (4822) 390-294
Сибирский федеральный округ;Томская область;Арбитражный суд Томской области ;634050, г.Томск, проспект Кирова, дом 10;8 (3822) 284-083
Центральный федеральный округ;Тульская область;Арбитражный суд Тульской области ; 300041, г. Тула, Красноармейский пр-т, д. 5;8 (4872) 250-800
Уральский федеральный округ;Тюменская область;Арбитражный суд Тюменской области ;625052, г. Тюмень, ул. Ленина, д. 74;8 (3452) 25-81-13
Приволжский федеральный округ;Удмуртская Республика;Арбитражный суд Удмуртской Республики ;426011, Удмуртская Республика, г. Ижевск, ул. Ломоносова, 5;8 (3412) 602-643
Приволжский федеральный округ;Ульяновская область;Арбитражный суд Ульяновской области ;432068, г. Ульяновск, ул. Железнодорожная, дом 14;8 (8422) 33-46-08
Дальневосточный федеральный округ;Хабаровский край;Арбитражный суд Хабаровского края ;680030, г. Хабаровск, ул. Ленина 37;8 (4212) 91-08-31
Уральский федеральный округ;Челябинская область;Арбитражный суд Челябинской области ;454091 г. Челябинск, ул. Воровского, 2;8 (351) 225-03-19
Северо-Кавказский федеральный округ;Чеченская республика;Арбитражный суд Чеченской Республики ;364024, Чеченская Республика, Грозный, ул. имени Шейха Али Митаева, д. 22 Б;8 (8712) 22-26-32
Приволжский федеральный округ;Чувашская Республика;Арбитражный суд Чувашской Республики ;428000, Чувашская Республика, г. Чебоксары, проспект Ленина, 4;8 (8352) 24-01-98
Дальневосточный федеральный округ;Чукотский автономный округ;Арбитражный суд Чукотского АО ;689000, Чукотский автономный округ, г. Анадырь, ул. Ленина 9а;8 (42722) 6-96-00
Центральный федеральный округ;Ярославская область;Арбитражный суд Ярославской области ;150999, г. Ярославль, пр-т Ленина, д.28;8 (4852) 28-11-82
Центральный федеральный округ;город Москва;Арбитражный суд города Москвы ;115225, г. Москва, ул. Большая Тульская, д. 17;8 (495) 600-96-96
Южный федеральный округ;Республика Крым;Арбитражный суд города Севастополь;299011 г. Севастополь, ул. Л. Павличенко, 5;8 (8692) 54-34-91
Дальневосточный федеральный округ;Еврейская автономная область;Арбитражный суд Еврейской автономной области ;679016, Еврейская автономная область, г. Биробиджан, пер. Театральный,10;8 (42622) 2-37-98
Приволжский федеральный округ;Руспублика Марий Эл;Арбитражный суд Республики Марий Эл ;"424002, Республика Марий Эл, г. Йошкар-Ола,
Ленинский проспект 40";8 (8362) 69-33-00
Северо-Кавказский федеральный округ;Республика Северная Осетия-Алания;Арбитражный суд Республики Северная Осетия ;362040, РСО - Алания, г. Владикавказ, пл. Свободы, 5;8 (8672) 53-04-24
Приволжский федеральный округ;Пермский край;Арбитражный суд ПСП Арбитражного суда Пермского края в г.Кудымкаре;619000, Пермский край, г. Кудымкар, ул. Лихачева 45;8 (342) 217-50-00
Северо-Кавказский федеральный округ;Кабардино-Балкарская республика;Арбитражный суд Кабардино-Балкарской Республики ;360001, г. Нальчик, ул. Мечникова 130 а;8 (8662) 44-02-23
Северо-Кавказский федеральный округ;Карачаево-Черкесская Республика;Арбитражный суд Карачаево-Черкесской Республики ;369000, КЧР, г. Черкесск, Ленина пр., д.9;8 (8782) 26-36-39
Уральский федеральный округ;Ханты-Мансийский автономный округ;Арбитражный суд Ханты-Мансийского АО ;628011, г. Ханты-Мансийск, ул. Мира, 27;8 (3467) 95-88-71
Уральский федеральный округ;Ямало-Ненецкий автономный округ;Арбитражный суд Ямало-Ненецкого АО ;629007, г. Салехард, ул. Республики, д. 102;8 (34922) 5-31-77
Северо-Западный федеральный округ;Город Санкт-Петербург;Арбитражный суд Санкт-Петербурга и Ленинградской области;191124, Санкт-Петербург, ул. Смольного д.6;8 (812) 643-48-18
